freq,unit,geo\TIME_PERIOD	2004-Q1 	2004-Q2 	2004-Q3 	2004-Q4 	2005-Q1 	2005-Q2 	2005-Q3 	2005-Q4 	2006-Q1 	2006-Q2 	2006-Q3 	2006-Q4 	2007-Q1 	2007-Q2 	2007-Q3 	2007-Q4 	2008-Q1 	2008-Q2 	2008-Q3 	2008-Q4 	2009-Q1 	2009-Q2 	2009-Q3 	2009-Q4 	2010-Q1 	2010-Q2 	2010-Q3 	2010-Q4 	2011-Q1 	2011-Q2 	2011-Q3 	2011-Q4 	2012-Q1 	2012-Q2 	2012-Q3 	2012-Q4 	2013-Q1 	2013-Q2 	2013-Q3 	2013-Q4 	2014-Q1 	2014-Q2 	2014-Q3 	2014-Q4 	2015-Q1 	2015-Q2 	2015-Q3 	2015-Q4 	2016-Q1 	2016-Q2 	2016-Q3 	2016-Q4 	2017-Q1 	2017-Q2 	2017-Q3 	2017-Q4 	2018-Q1 	2018-Q2 	2018-Q3 	2018-Q4 	2019-Q1 	2019-Q2 	2019-Q3 	2019-Q4 	2020-Q1 	2020-Q2 	2020-Q3 	2020-Q4 	2021-Q1 	2021-Q2 	2021-Q3 	2021-Q4 	2022-Q1 	2022-Q2 	2022-Q3 	2022-Q4 	2023-Q1 	2023-Q2 	2023-Q3 
Q,MIO_PKM,EU27_2020	: 	: 	: 	: 	: 	: 	: 	: 	79002 	86150 	87117 	85090 	80579 	87421 	89061 	84620 	83256 	89749 	91664 	89366 	82599 	89215 	89553 	88020 	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	74200 	103254 	111604 	105063 	95356 	112553 	: 
Q,MIO_PKM,EU28	: 	: 	: 	: 	: 	: 	: 	: 	90170 	97847 	99201 	97438 	92708 	99866 	101995 	97584 	96135 	103226 	105147 	102529 	95401 	102278 	102933 	101540 	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Q,MIO_PKM,FI	842 	797 	834 	873 	877 	812 	877 	902 	889 	854 	900 	939 	937 	899 	957 	996 	1024 	958 	1021 	1050 	973 	931 	978 	1005 	1005 	925 	993 	1040 	963 	925 	998 	996 	971 	967 	1014 	1083 	1007 	1001 	1008 	1036 	971 	971 	973 	959 	931 	1008 	1105 	1070 	933 	927 	988 	1019 	987 	1035 	1065 	1158 	1117 	1095 	1107 	1216 	1165 	1205 	1250 	1305 	1098 	359 	774 	589 	475 	586 	880 	962 	811 	1166 	1323 	1273 	1188 	1302 	: 
Q,MIO_PKM,FR	17385 	19123 	19016 	18769 	18182 	19693 	19979 	19030 	18739 	20634 	20433 	20003 	19118 	21344 	21844 	19655 	20352 	22084 	22343 	21737 	20617 	22948 	22628 	22417 	20378 	22290 	: c	: c	21323 	23899 	23286 	22797 	21538 	23444 	23313 	22909 	21304 	23304 	23064 	22812 	20991 	22649 	23123 	22736 	21297 	23722 	23705 	22653 	22076 	22695 	23560 	23500 	22102 	23739 	24477 	24706 	23219 	19478 	24430 	24690 	23778 	25588 	25972 	21201 	18492 	5422 	19644 	13048 	14103 	15849 	22524 	23378 	21264 	26755 	27963 	26832 	23397 	28170 	: 
Q,MIO_PKM,HR	280 	295 	317 	321 	299 	303 	300 	325 	300 	323 	320 	379 	374 	381 	379 	439 	428 	448 	435 	458 	439 	462 	448 	453 	414 	439 	411 	446 	401 	415 	288 	353 	270 	284 	246 	280 	237 	248 	219 	231 	224 	234 	207 	252 	213 	222 	212 	293 	218 	219 	189 	201 	175 	195 	169 	196 	179 	193 	177 	199 	177 	185 	168 	194 	155 	60 	117 	116 	105 	127 	165 	141 	141 	180 	232 	259 	308 	340 	307 
Q,MIO_PKM,HU	2282 	2550 	2690 	2884 	2207 	2506 	2430 	2600 	1935 	2423 	2441 	2401 	2106 	2288 	2099 	2258 	1976 	2109 	2105 	2102 	1870 	2117 	2024 	2061 	1815 	1952 	1954 	1960 	1773 	2021 	1959 	2010 	1793 	1991 	1998 	2024 	1809 	1991 	2038 	2004 	1812 	2011 	1981 	1934 	1784 	1997 	1937 	1891 	1778 	1960 	1963 	1926 	1778 	: c	: c	1942 	1830 	2014 	1991 	1935 	1798 	1965 	2003 	1986 	1679 	661 	1570 	944 	896 	1183 	1714 	1642 	1579 	1930 	2201 	2107 	1947 	2595 	3062 
Q,MIO_PKM,IE	329 	464 	406 	383 	347 	481 	408 	545 	430 	441 	491 	510 	437 	614 	481 	465 	441 	607 	476 	451 	391 	517 	394 	380 	432 	525 	407 	314 	414 	444 	449 	331 	377 	384 	418 	399 	364 	382 	412 	410 	382 	414 	434 	465 	438 	471 	502 	506 	470 	489 	515 	516 	483 	519 	563 	557 	517 	565 	600 	599 	565 	592 	623 	619 	465 	52 	167 	150 	74 	180 	301 	315 	311 	423 	501 	513 	459 	491 	527 
Q,MIO_PKM,IT	10765 	11701 	11829 	11283 	10890 	11799 	11898 	11558 	10937 	12176 	11958 	11367 	10929 	11940 	11972 	11144 	11090 	11848 	11672 	11157 	10641 	11766 	11327 	10670 	10266 	11332 	10980 	10771 	10342 	10342 	9937 	9339 	10895 	11777 	10988 	11180 	11507 	12635 	11727 	11853 	11745 	13000 	12019 	12119 	12019 	13536 	12718 	12884 	12063 	13123 	12728 	13100 	12513 	13771 	12940 	13555 	12905 	14528 	13576 	14027 	13146 	14806 	13753 	14455 	8813 	2089 	6765 	4398 	3623 	5905 	8505 	9387 	8153 	12145 	12768 	13076 	12186 	14410 	: 
Q,MIO_PKM,LT	88 	67 	83 	69 	62 	64 	87 	67 	58 	64 	91 	55 	51 	61 	78 	56 	52 	60 	82 	64 	53 	57 	69 	52 	52 	61 	70 	61 	58 	69 	76 	66 	61 	72 	78 	68 	64 	72 	77 	65 	59 	69 	76 	66 	58 	67 	73 	63 	61 	70 	79 	69 	69 	84 	84 	78 	75 	92 	97 	91 	86 	95 	93 	84 	71 	41 	82 	44 	35 	71 	96 	85 	72 	102 	115 	92 	79 	101 	114 
Q,MIO_PKM,LU	73 	67 	56 	71 	72 	71 	56 	73 	79 	74 	66 	78 	84 	80 	69 	84 	88 	90 	77 	90 	88 	82 	75 	87 	89 	84 	82 	91 	: c	: c	79 	88 	97 	92 	86 	99 	98 	98 	90 	99 	92 	88 	89 	97 	106 	104 	97 	112 	111 	107 	94 	105 	111 	109 	103 	114 	120 	111 	87 	124 	120 	116 	101 	126 	104 	25 	59 	82 	67 	77 	67 	92 	95 	93 	89 	112 	123 	118 	: 
